load_scale,peak_rate,p,seat_effective_util,seat_turnover_per_hour,abandon_ratio,seat_wait_mean,food_wait_mean,seat_idle_pre_util
1.15,27.599999999999998,0.8,0.7658194285943897,3.3346666666666662,0.1446992091174229,9.481205309115094,0.06859692840215778,0.04109033282248164
1.15,27.599999999999998,0.9,0.764767248007316,3.3303333333333334,0.14581904476831795,9.504055063759896,0.04638038053414606,0.045539292652079455
1.15,27.599999999999998,1.0,0.763037562571015,3.3226666666666667,0.14780057445294426,9.522714846814562,0.0398499491708658,0.05035814448187187
1.2,28.799999999999997,0.0,0.8324589024415407,3.7520000000000002,0.07619521312786418,8.416615570454873,4.699452314487454,0.0
1.2,28.799999999999997,0.1,0.8044628322259442,3.6049999999999995,0.11231473958149722,9.108313886923709,3.9511798169931884,0.027615396564204385
1.2,28.799999999999997,0.2,0.7844951505006693,3.4806666666666666,0.14280432734686452,9.430468231634244,3.120597681012309,0.043085082888796866
1.2,28.799999999999997,0.3,0.7712100489710505,3.3903333333333334,0.16499105699914232,9.655251690530372,2.1049758440524045,0.04723619673281674
1.2,28.799999999999997,0.4,0.7658873484436345,3.348,0.17533449586997535,9.72898778869386,1.2652803879709296,0.044312150263014785
1.2,28.799999999999997,0.5,0.7657888984030019,3.336666666666666,0.1781062370970896,9.743494895931965,0.577390479115412,0.03787562802697794
1.2,28.799999999999997,0.6,0.768919671677587,3.3483333333333336,0.17523602341623362,9.761798178423405,0.23831583171826048,0.03574533000305892
1.2,28.799999999999997,0.7,0.7707905977105505,3.356666666666667,0.17319902745504054,9.791308099235149,0.11531447339604192,0.03750293913168078
1.2,28.799999999999997,0.8,0.7700969618375766,3.354,0.17386291962701456,9.815055685805905,0.06756372742756302,0.04146470756559205
1.2,28.799999999999997,0.9,0.7687076571228146,3.3480000000000003,0.17533473134446453,9.832663575872894,0.04727448968305552,0.04595084315378669
1.2,28.799999999999997,1.0,0.7666974753341375,3.3393333333333333,0.1774827172603592,9.848014998835298,0.041386243185765885,0.05069021345253697
1.25,30.0,0.0,0.8416605097921206,3.852666666666667,0.08761676926094394,8.745473812135497,5.463596725826236,0.0
1.25,30.0,0.1,0.8098627771715835,3.679666666666667,0.1284970114578528,9.444015719762094,4.6534092424272036,0.03304728932475456
1.25,30.0,0.2,0.7879785668529996,3.5313333333333334,0.163515618821996,9.765617857005974,3.7541631731588345,0.05165546747377557
1.25,30.0,0.3,0.7730235576859746,3.4156666666666666,0.1908452592029484,9.978329188073396,2.6050384891773133,0.056980942315134196
1.25,30.0,0.4,0.7679021586161785,3.365333333333333,0.20273333227145285,10.05176189761346,1.6159334939977203,0.05182735735372683
1.25,30.0,0.5,0.7681131210194425,3.3520000000000003,0.20589214175653278,10.064102637251247,0.7936033874356188,0.04397857265999784
1.25,30.0,0.6,0.7730349900732267,3.368666666666667,0.20193304589811692,10.068959901590654,0.3072211378621732,0.03811872988113738
1.25,30.0,0.7,0.7750666993561514,3.377,0.19998434010742502,10.082991494735927,0.1341611722258564,0.03844656934419455
1.25,30.0,0.8,0.7747775174436795,3.3756666666666666,0.2003100267904067,10.105204722242837,0.07829370946336237,0.04209612063248015
1.25,30.0,0.9,0.7739080857761398,3.3723333333333336,0.20109887536713594,10.123972507990526,0.0517717927171065,0.04659720614412517
1.25,30.0,1.0,0.7725505184185335,3.3666666666666663,0.2024418280443677,10.144168020577577,0.042188411011063354,0.05115816262616414
1.3,31.200000000000003,0.0,0.8475764451554284,3.9579999999999997,0.09944970240011743,9.042514696522586,6.310564415330397,0.0
1.3,31.200000000000003,0.1,0.811657533609738,3.766333333333333,0.14295128444567456,9.7511622883564,5.423562208942731,0.040064117044670534
1.3,31.200000000000003,0.2,0.7898493261459756,3.5946666666666665,0.1819288429356471,10.065825393643884,4.413503611438789,0.06101862829014535
1.3,31.200000000000003,0.3,0.7755788658924427,3.4623333333333335,0.21197969009475096,10.275558563679402,3.1707017007962284,0.06805947080400146
1.3,31.200000000000003,0.4,0.769795244903318,3.392333333333333,0.2279074300164267,10.339168360057686,2.0634843324456207,0.0620526223786565
1.3,31.200000000000003,0.5,0.770417944727509,3.371,0.23277185602755654,10.344675308830718,1.0634020559069568,0.05108290255140557
1.3,31.200000000000003,0.6,0.7773088140608257,3.393,0.22776897023209922,10.334890755156236,0.388798823822815,0.04074306449559935
1.3,31.200000000000003,0.7,0.7812900213329583,3.4106666666666667,0.22377309656119357,10.349318534102323,0.1546875169192881,0.039399079613699234
1.3,31.200000000000003,0.8,0.7804711614993748,3.406666666666667,0.224696944774983,10.362759942085452,0.09086618524069118,0.04308946586946755
1.3,31.200000000000003,0.9,0.7802904730441861,3.4063333333333334,0.22477050025029904,10.38497719835345,0.05544101589015381,0.047152110182135706
1.3,31.200000000000003,1.0,0.7788351400131367,3.400333333333333,0.22613971852935336,10.401232024564255,0.04380933303910404,0.05177069230721609
1.35,32.400000000000006,0.0,0.8510062003464964,4.0729999999999995,0.10735677070714453,9.315398124910358,7.129763997057213,0.0
1.35,32.400000000000006,0.1,0.8097305212321885,3.8419999999999996,0.15786185647004602,10.027145046485986,6.217234382055684,0.046891791797355156
1.35,32.400000000000006,0.2,0.786691510234501,3.651,0.1996623524813928,10.344076859151041,5.1280070448099915,0.07193420781164087
1.35,32.400000000000006,0.3,0.7749885687529413,3.4939999999999998,0.23399273412454474,10.540909007482167,3.7458106737405883,0.07790225898660691
1.35,32.400000000000006,0.4,0.770786513032497,3.4189999999999996,0.25045295757646724,10.61693751447742,2.503745187461995,0.07197432079472676
